ds;country;polygon_source;polygon_id;polygon_name;tiles_visited_related_change;ratio_single_tile_users;baseline_name;baseline_type
16/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14687;0.23223;full_february;DAY_OF_WEEK
14/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14771;0.22366;full_february;DAY_OF_WEEK
28/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14858;0.22968;full_february;DAY_OF_WEEK
13/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.14912;0.22278;full_february;DAY_OF_WEEK
20/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.1492;0.25244;full_february;DAY_OF_WEEK
11/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15011;0.23137;full_february;DAY_OF_WEEK
14/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15044;0.23673;full_february;DAY_OF_WEEK
12/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15231;0.23084;full_february;DAY_OF_WEEK
22/11/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15282;0.24492;full_february;DAY_OF_WEEK
17/08/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15318;0.23108;full_february;DAY_OF_WEEK
07/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15387;0.23659;full_february;DAY_OF_WEEK
22/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15514;0.25573;full_february;DAY_OF_WEEK
23/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.15744;0.24941;full_february;DAY_OF_WEEK
30/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16039;0.23626;full_february;DAY_OF_WEEK
03/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16076;0.23861;full_february;DAY_OF_WEEK
09/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16178;0.23881;full_february;DAY_OF_WEEK
04/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16237;0.23395;full_february;DAY_OF_WEEK
08/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16261;0.24869;full_february;DAY_OF_WEEK
21/10/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16263;0.25714;full_february;DAY_OF_WEEK
03/06/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16337;0.23211;full_february;DAY_OF_WEEK
17/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16342;1.65625;full_february;DAY_OF_WEEK
25/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16486;0.23865;full_february;DAY_OF_WEEK
22/09/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.16643;0.25038;full_february;DAY_OF_WEEK
